UID          PID    PPID  C STIME TTY          TIME CMD
do          5066       1  0 12m23 ?      00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
do          5070    3913  0 12m23 ?      00:00:00 /sbin/upstart --user
do          5180    5070  0 12m23 ?      00:00:00 upstart-udev-bridge --daemon --user
do          5181    5070  0 12m23 ?      00:00:04 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-CA2eD8VmAP
do          5193    5070  0 12m23 ?      00:00:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
do          5218    5070  0 12m23 ?      00:00:00 upstart-dbus-bridge --daemon --system --user --bus-name system
do          5219    5070  0 12m23 ?      00:00:01 upstart-dbus-bridge --daemon --session --user --bus-name session
do          5227    5070  0 12m23 ?      00:00:00 /usr/bin/ibus-daemon --daemonize --xim
do          5245    5070  0 12m23 ?      00:00:00 upstart-file-bridge --daemon --user
do          5249    5070  0 12m23 ?      00:00:00 /usr/lib/gvfs/gvfsd
do          5254    5070  0 12m23 ?      00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1002/gvfs -f -o big_writes
do          5263    5227  0 12m23 ?      00:00:00 /usr/lib/ibus/ibus-dconf
do          5264    5227  0 12m23 ?      00:00:00 /usr/lib/ibus/ibus-ui-gtk3
do          5268    5070  0 12m23 ?      00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
do          5278    5070  0 12m23 ?      00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
do          5286    5278  0 12m23 ?      00:00:00 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
do          5288    5070  0 12m23 ?      00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
do          5292    5070  0 12m23 ?      00:00:00 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
do          5298    5227  0 12m23 ?      00:00:00 /usr/lib/ibus/ibus-engine-simple
do          5313    5070  0 12m23 ?      00:00:06 gpg-agent --homedir /home/do/.gnupg --use-standard-socket --daemon
do          5374    5070  0 12m23 ?      00:00:00 /usr/lib/x86_64-linux-gnu/hud/hud-service
do          5376    5070  0 12m23 ?      00:00:06 /usr/lib/unity-settings-daemon/unity-settings-daemon
do          5388    5070 18 12m23 ?      1-12:19:03 compiz
do          5389    5070  0 12m23 ?      00:00:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
do          5393    5070  0 12m23 ?      00:00:13 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
do          5449    5070  0 12m23 ?      00:00:00 /usr/lib/dconf/dconf-service
do          5454    5070  0 12m23 ?      00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
do          5455    5070  0 12m23 ?      00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
do          5456    5070  0 12m23 ?      00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
